Latitude,Longitude
-65.58,-18.07
-62.75,-28
-65.58,-18.07
-62.75,-28
-65.58,-18.07
-62.75,-28
-62.75,-28
-65.58,-18.07
-74,174
-66.25,110.52
-66.25,110.52
-66.25,110.52
-61.82,-48.87
-61.82,-48.87
-61.82,-48.87
-61.82,-48.87
-77.75,-41.75
-66.62,170.53
-73.98,-179.73
-73.98,-179.73
-68.68,-171.82
-76.02,-166.28
-68.68,-171.82
-75.37,-174.87
-68.68,-171.82
-75.37,-174.87
-75.37,-174.87
-75.37,-174.87
-76.02,-166.28
-75.37,-174.87
-73.98,-179.73
-73.98,-179.73
-61.82,-48.87
-62.77,-51.23
-77.75,-41.75
-61.82,-48.87
