Year,Route Count,Canada Goose,Mute Swan,Wood Duck,Gadwall,American Black Duck,Mallard,Blue-winged Teal,Northern Pintail,Green-winged Teal,Canvasback,Redhead,Ring-necked Duck,Common Goldeneye,Hooded Merganser,Common Merganser,Ruddy Duck,Northern Bobwhite,Gray Partridge,Ring-necked Pheasant,Ruffed Grouse,Spruce Grouse,Wild Turkey,Common Loon,Pied-billed Grebe,Double-crested Cormorant,American Bittern,Least Bittern,Great Blue Heron,Great Egret,Snowy Egret,Little Blue Heron,Cattle Egret,Green Heron,Black-crowned Night-Heron,Yellow-crowned Night-Heron,Glossy Ibis,Black Vulture,Turkey Vulture,Osprey,Bald Eagle,Northern Harrier,Sharp-shinned Hawk,Cooper's Hawk,Northern Goshawk,unid. Accipiter Hawk,Red-shouldered Hawk,Broad-winged Hawk,Red-tailed Hawk,unid. Buteo Hawk,Golden Eagle,American Kestrel,Merlin,Clapper Rail,Virginia Rail,Sora,Common Gallinule,American Coot,Piping Plover,Killdeer,American Oystercatcher,Spotted Sandpiper,Willet,Upland Sandpiper,Wilson's Snipe,American Woodcock,Laughing Gull,Ring-billed Gull,Herring Gull,Great Black-backed Gull,unid. Gull,Least Tern,Black Tern,Roseate Tern,Common Tern,Forster's Tern,Black Skimmer,Rock Pigeon,Mourning Dove,Yellow-billed Cuckoo,Black-billed Cuckoo,unid. Cuckoo,Eastern Screech-Owl,Great Horned Owl,Barred Owl,Long-eared Owl,Northern Saw-whet Owl,Common Nighthawk,Eastern Whip-poor-will,Chimney Swift,Ruby-throated Hummingbird,Belted Kingfisher,Red-headed Woodpecker,Red-bellied Woodpecker,Yellow-bellied Sapsucker,Downy Woodpecker,Hairy Woodpecker,Black-backed Woodpecker,(Yellow-shafted Flicker) Northern Flicker,Pileated Woodpecker,unid. Woodpecker,Olive-sided Flycatcher,Eastern Wood-Pewee,Yellow-bellied Flycatcher,Acadian Flycatcher,Alder Flycatcher,Willow Flycatcher,unid. Alder Flycatcher / Willow Flycatcher,Least Flycatcher,unid. Empidonax Flycatcher,Eastern Phoebe,Great Crested Flycatcher,Eastern Kingbird,Loggerhead Shrike,White-eyed Vireo,Yellow-throated Vireo,Blue-headed Vireo,Warbling Vireo,Philadelphia Vireo,Red-eyed Vireo,Gray Jay,Blue Jay,American Crow,Fish Crow,Common Raven,Horned Lark,Purple Martin,Tree Swallow,Northern Rough-winged Swallow,Bank Swallow,Cliff Swallow,Barn Swallow,Carolina Chickadee,Black-capped Chickadee,Boreal Chickadee,Tufted Titmouse,Red-breasted Nuthatch,White-breasted Nuthatch,Brown Creeper,Carolina Wren,House Wren,Winter Wren,Sedge Wren,Marsh Wren,Blue-gray Gnatcatcher,Golden-crowned Kinglet,Ruby-crowned Kinglet,Eastern Bluebird,Veery,Gray-cheeked Thrush,Swainson's Thrush,Hermit Thrush,Wood Thrush,American Robin,Gray Catbird,Northern Mockingbird,Brown Thrasher,European Starling,Cedar Waxwing,Ovenbird,Worm-eating Warbler,Louisiana Waterthrush,Northern Waterthrush,Golden-winged Warbler,Blue-winged Warbler,Brewster's Warbler (Golden-winged x Blue-winged),Black-and-white Warbler,Prothonotary Warbler,Tennessee Warbler,Nashville Warbler,Connecticut Warbler,Mourning Warbler,Kentucky Warbler,Common Yellowthroat,Hooded Warbler,American Redstart,Cape May Warbler,Cerulean Warbler,Northern Parula,Magnolia Warbler,Bay-breasted Warbler,Blackburnian Warbler,Yellow Warbler,Chestnut-sided Warbler,Blackpoll Warbler,Black-throated Blue Warbler,Palm Warbler,Pine Warbler,(Myrtle Warbler) Yellow-rumped Warbler,Prairie Warbler,Black-throated Green Warbler,Canada Warbler,Wilson's Warbler,Yellow-breasted Chat,Eastern Towhee,Chipping Sparrow,Clay-colored Sparrow,Field Sparrow,Vesper Sparrow,Savannah Sparrow,Grasshopper Sparrow,Henslow's Sparrow,Saltmarsh Sparrow,Seaside Sparrow,Song Sparrow,Lincoln's Sparrow,Swamp Sparrow,White-throated Sparrow,(Slate-colored Junco) Dark-eyed Junco,Scarlet Tanager,Northern Cardinal,Rose-breasted Grosbeak,Blue Grosbeak,Indigo Bunting,Dickcissel,Bobolink,Red-winged Blackbird,Eastern Meadowlark,Western Meadowlark,unid. Eastern Meadowlark / Western Meadowlark,Rusty Blackbird,Common Grackle,Boat-tailed Grackle,Brown-headed Cowbird,Orchard Oriole,Baltimore Oriole,Purple Finch,House Finch,Red Crossbill,White-winged Crossbill,Pine Siskin,American Goldfinch,Evening Grosbeak,House Sparrow
1966,30,12,59,2,0,35,128,0,0,10,0,0,0,0,1,1,0,45,0,94,1,0,0,2,0,0,0,0,9,0,15,0,0,5,8,1,0,0,7,0,0,0,0,0,0,0,2,4,6,0,1,26,0,2,2,0,0,0,0,121,0,12,0,29,2,0,0,2,418,2,0,4,2,0,29,0,0,469,456,5,11,0,0,1,0,0,0,0,6,116,1,30,1,0,39,51,24,0,292,9,0,4,61,0,0,1,14,7,138,0,116,44,198,0,1,26,11,34,0,407,4,413,737,3,0,49,46,172,21,335,34,709,0,119,0,4,3,54,3,2,284,7,0,7,1,2,1,41,304,0,9,25,383,1965,496,11,106,5916,157,199,0,5,5,1,6,0,21,0,0,6,0,15,0,473,2,98,0,0,4,43,0,13,229,165,0,15,0,3,21,9,11,24,0,1,359,534,0,265,71,325,38,14,0,1,1260,3,33,128,23,119,119,90,0,167,0,165,3811,519,0,0,0,1950,0,364,0,157,73,24,0,0,0,598,0,2021
1967,72,6,3,20,1,13,169,0,0,0,0,0,0,0,0,3,0,110,0,319,5,0,5,1,2,0,6,0,29,0,0,0,0,26,2,0,0,0,5,0,0,4,0,1,0,0,4,8,21,0,0,76,0,4,0,0,1,0,0,309,0,41,0,20,8,6,9,18,134,0,0,1,2,0,160,0,2,800,724,29,60,0,4,7,2,0,0,2,7,315,18,51,9,4,48,104,35,0,500,19,0,7,182,0,1,26,59,46,293,0,355,179,317,0,0,38,17,122,0,669,0,723,1878,5,0,138,50,264,19,241,72,1320,0,323,0,26,3,96,3,1,688,6,0,9,4,1,1,47,495,0,6,55,790,4324,836,35,290,8515,336,297,0,8,14,26,48,1,54,0,0,28,0,20,0,907,3,191,0,5,1,35,0,29,840,283,0,29,0,2,7,6,36,43,0,1,712,1059,0,637,225,698,80,29,0,2,2843,1,50,279,41,157,342,242,0,311,0,908,10142,1279,0,0,1,4237,0,889,0,809,94,30,0,0,0,1891,0,3659
1968,84,14,2,19,0,54,66,3,0,0,0,0,3,0,0,0,0,155,0,568,8,0,6,4,2,0,9,1,22,0,0,0,0,50,1,0,0,0,6,0,0,1,1,0,0,0,3,3,35,0,0,78,0,0,0,1,0,0,0,410,0,41,0,17,4,2,0,3,54,0,0,0,2,0,183,0,0,914,1021,28,56,0,1,1,1,0,0,2,4,329,15,59,6,3,85,181,40,0,742,19,0,17,180,2,0,35,72,32,310,0,453,282,399,1,0,68,17,145,0,856,0,948,2378,1,0,200,57,510,38,549,115,2070,0,477,0,21,49,153,19,0,817,15,1,4,1,5,4,57,707,0,24,82,1079,5581,1019,70,326,10442,382,407,3,3,16,12,30,0,84,0,0,19,0,42,0,1295,2,318,0,2,5,57,2,47,854,324,0,50,0,4,76,9,58,59,0,3,867,1467,0,768,298,910,94,29,0,0,3722,1,98,573,87,279,318,372,0,302,0,965,13619,1841,1,0,0,5198,0,897,0,773,185,12,0,0,31,2697,21,3908
1969,95,3,7,35,0,47,65,6,0,0,0,0,0,0,1,2,0,147,0,627,14,0,2,0,2,0,16,0,30,4,0,0,0,48,8,0,0,0,16,0,0,8,1,1,1,0,8,8,53,0,0,93,0,2,1,1,5,2,0,495,0,47,0,35,21,9,0,149,203,2,0,0,6,0,285,0,0,906,972,27,75,0,2,2,6,0,0,4,1,332,17,65,5,7,192,169,37,0,700,22,0,15,287,3,0,41,124,45,442,0,507,285,391,0,0,56,107,188,0,1339,0,1131,3017,28,0,200,52,624,85,719,93,2496,0,566,1,35,32,138,21,0,826,54,0,4,1,4,5,24,779,0,15,128,1502,6094,1074,63,346,11615,787,494,6,7,21,25,26,0,69,1,1,38,0,51,0,1591,4,406,0,1,12,78,0,51,1029,495,0,67,0,2,79,8,82,78,0,5,1012,1664,0,824,206,962,80,35,0,0,4276,0,86,711,121,322,371,383,0,274,0,1190,15295,1759,1,0,0,6100,0,1063,1,883,199,37,8,0,0,2253,6,4257
1970,88,39,15,37,0,47,69,3,0,0,0,0,8,0,6,2,0,93,0,618,7,0,3,5,1,0,8,0,35,0,0,0,0,43,0,0,0,0,3,1,0,2,0,1,1,0,6,4,48,0,0,80,0,0,1,0,2,1,0,523,0,42,0,30,8,15,0,26,41,0,0,0,1,0,3,0,0,851,904,53,109,0,0,12,12,0,1,2,5,302,27,55,7,4,237,252,53,0,627,21,0,13,323,8,1,48,132,55,422,0,453,295,370,0,0,41,68,158,1,1245,1,842,2966,0,0,151,80,498,88,657,175,2243,0,398,0,61,27,144,21,0,884,47,3,3,3,8,5,53,684,0,14,94,1540,6109,1079,59,331,12394,509,481,5,13,12,18,28,0,92,0,0,47,0,45,0,1530,2,397,0,0,17,100,0,62,993,458,2,77,0,2,109,13,83,85,0,3,857,1645,0,735,206,1030,76,24,0,0,4010,1,83,583,134,365,424,285,0,297,0,1218,14641,1456,1,0,1,5812,0,1164,1,864,178,10,0,0,0,1845,14,3492
1971,89,117,42,39,2,43,340,3,0,0,0,0,5,0,0,3,0,147,0,666,9,0,0,6,2,0,11,0,59,2,4,0,0,60,7,0,1,0,1,1,0,6,0,0,0,0,7,7,52,0,0,101,0,0,1,0,1,0,0,497,0,40,0,19,11,2,0,42,144,0,0,0,6,0,14,0,2,1164,1057,51,93,0,2,8,1,0,0,1,3,463,16,41,15,5,149,199,52,0,640,24,0,12,337,4,0,46,152,52,411,0,425,259,397,2,2,54,31,234,1,1141,0,985,2656,3,0,180,98,541,24,822,125,2322,0,376,0,55,27,109,19,1,913,57,1,3,2,11,4,57,500,0,14,65,1485,6145,1003,107,317,12743,749,323,3,3,24,21,38,1,83,1,0,62,0,44,0,1244,4,348,0,3,8,73,0,56,1334,366,2,46,0,1,91,16,100,73,0,8,718,1503,1,725,174,1097,66,27,0,0,3877,0,73,442,124,288,586,406,0,298,0,1241,13061,1528,2,0,4,7399,0,1087,3,1105,138,56,0,0,0,2006,12,4178
1972,82,254,49,10,2,14,322,9,0,2,0,0,1,0,2,0,1,119,1,530,5,0,0,2,2,0,8,0,46,5,6,0,0,58,17,0,1,0,26,1,0,3,1,0,0,0,9,7,44,0,0,85,0,2,1,0,1,0,0,477,0,32,0,21,13,7,0,143,129,1,0,0,0,0,14,0,0,1282,1051,31,57,0,3,4,5,3,0,0,1,361,14,61,13,8,64,136,27,1,565,15,0,7,287,2,0,30,129,46,345,0,392,222,358,0,0,39,25,207,1,1036,0,852,2492,1,0,154,84,463,80,1147,68,2055,0,414,0,37,16,103,14,1,935,30,0,4,5,7,4,42,554,0,19,63,1365,6095,902,120,243,10796,538,372,4,5,22,21,40,0,71,0,0,38,0,44,0,1239,5,340,0,3,11,49,0,39,1059,323,0,54,0,2,64,16,90,68,1,4,723,1596,0,731,157,1029,55,25,0,0,3452,1,67,361,105,254,456,295,0,379,0,1020,12154,1284,1,0,1,5908,0,948,2,912,135,74,0,1,3,1614,8,4032
1973,85,19,0,8,0,15,159,3,0,0,0,0,0,0,1,0,0,78,0,495,6,0,0,0,0,0,1,0,35,0,0,0,0,75,0,0,0,0,17,0,0,2,1,2,1,0,12,10,60,0,0,82,0,1,0,0,0,0,0,615,0,38,0,27,19,5,0,32,20,0,0,0,4,0,1,0,0,1604,1187,36,78,0,1,7,1,0,0,1,2,317,24,44,9,6,56,185,52,0,577,23,0,10,278,1,0,42,171,27,407,0,431,270,354,0,1,46,41,187,2,1198,0,1090,2523,1,2,158,89,464,38,433,87,2171,0,516,0,73,42,125,9,0,1017,63,5,1,4,13,0,47,572,0,8,60,1532,5838,1002,110,249,11041,649,458,5,7,21,29,47,1,64,0,0,34,0,37,2,1585,6,368,0,1,11,63,4,50,1111,371,1,49,0,4,43,16,57,63,0,3,648,1282,0,770,108,940,34,16,0,0,3790,0,105,381,123,269,527,367,0,475,0,1117,13292,1407,0,0,2,5482,0,961,3,851,168,25,13,0,37,1695,1,3629
1974,86,48,0,26,0,8,136,4,0,3,0,0,1,0,0,0,0,75,0,436,2,0,17,2,1,0,11,0,49,0,0,0,0,64,0,0,0,0,13,0,0,7,0,1,0,0,10,7,69,0,0,128,0,0,1,0,1,0,0,608,0,26,0,14,33,9,0,128,113,0,0,1,0,0,2,0,0,1273,1182,19,40,0,4,2,3,1,0,1,5,302,12,54,18,9,43,170,57,0,554,17,0,7,290,1,0,83,164,0,429,0,438,242,357,0,0,52,53,184,0,1576,0,1009,2553,0,0,146,85,539,36,425,72,2259,0,562,0,34,20,116,31,4,1148,119,3,5,5,21,6,33,608,0,14,53,1392,5685,991,98,291,11639,541,431,1,10,19,22,50,0,65,0,1,56,0,24,0,1482,1,373,1,1,22,92,1,93,1223,474,1,67,0,3,111,17,111,60,0,2,498,1408,0,703,67,923,41,19,0,0,3648,0,93,456,99,299,524,369,0,443,0,940,12159,1278,0,0,2,4884,0,908,1,857,156,25,1,0,3,1603,17,3923
1975,89,267,6,14,0,43,271,6,0,0,0,0,0,0,0,2,0,86,0,476,6,0,3,2,0,0,2,0,52,0,15,0,0,63,9,1,0,0,8,0,0,7,2,0,0,0,9,13,70,0,0,98,0,1,2,0,2,0,0,587,0,24,0,17,24,15,0,149,101,11,0,0,1,0,0,0,2,1029,1456,9,23,0,2,7,6,0,0,1,6,286,20,58,9,11,70,157,50,0,557,15,0,12,269,1,0,61,193,2,410,0,322,223,392,0,0,51,77,183,1,1589,0,1074,2797,2,4,125,93,649,28,734,137,2398,0,554,0,55,39,140,22,4,1254,86,1,7,1,12,15,33,709,0,12,119,1581,6426,1235,161,255,11231,527,506,1,5,12,7,37,0,118,1,0,49,0,38,1,1633,4,428,1,2,14,106,1,108,1173,478,0,105,0,1,128,8,149,65,0,4,524,1508,1,686,53,925,38,22,0,0,3205,3,123,631,168,320,731,427,0,478,0,924,11580,965,0,0,3,6195,0,855,0,825,177,164,0,0,45,1780,35,3824
